Armazem;Deposito;         ;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;               ;               ;               ;               ;               ;Saldo Unitário ;               ;               ;               ;               ;               ;               ;               ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
01;20;000;00004359;INDAIA AGUA MINERAL C/GAS GFA PET 1,5L FD C/6;cx  ;         39/04 ;          0/00;          0/00;         39/04 ;          0/00 ;         39/04 ;          0/00 ;         39/04-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000615,2300000;-;  ;     ;                   ;                   ;                   ; 00000000238;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;         39/04 ;         39/04 
01;20;000;00004367;INDAIA AGUA MINERAL S/GAS GFA PET 1,5L FD C/6;cx  ;         29/00 ;          0/00;          0/00;         29/00 ;          0/00 ;         29/00 ;          0/00 ;         29/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000393,2400000;-;  ;     ;                   ;                   ;                   ; 00000000174;            ;                   ;                   ;                   ;                   ;                   ;                   ;         27/00 ;          2/00 ;          2/00 
01;20;000;00004409;PEPSI TWIST PET 2L SHRINK C/6                ;cx  ;      1.497/03 ;          1/00;          0/00;      1.498/03 ;         80/01 ;      1.418/02 ;          0/00 ;      1.418/02-;          0/00 ;         37/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000025487,4500000;-;  ;     ;                   ;                   ;                   ; 00000008510;            ;                   ;                   ;                   ;                   ;                   ;                   ;        200/00 ;      1.298/03 ;      1.218/02 
01;20;000;00004910;PEPSI TWIST PET 1L CAIXA C/12                ;cx  ;          0/03 ;          0/00;          0/00;          0/03 ;          0/00 ;          0/03 ;          0/00 ;          0/03-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000002,3325000;-;  ;     ;                   ;                   ;                   ; 00000000003;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/03 ;          0/03 
01;20;000;00007325;PEPSI COLA PET 1L CAIXA C/12                 ;cx  ;      3.288/08 ;          1/00;          0/00;      3.289/08 ;        182/02 ;      3.107/06 ;          0/00 ;      3.107/06-;          0/00 ;         97/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000072777,6500124;-;  ;     ;                   ;                   ;                   ; 00000037290;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      3.289/08 ;      3.107/06 
01;20;000;00007431;SUKITA MIX BAG IN BOX 18L                    ;L   ;         90/00 ;          0/00;          0/00;         90/00 ;          0/00 ;         90/00 ;          0/00 ;         90/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000008487,9000000;-;  ;     ;                   ;                   ;                   ; 00000000090;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;         90/00 ;         90/00 
01;20;000;00007945;PEPSI COLA PET 2,5L CAIXA C/6                ;cx  ;        305/05 ;          0/00;          0/00;        305/05 ;         40/00 ;        265/05 ;          0/00 ;        265/05-;          0/00 ;         85/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000005882,8916661;-;  ;     ;                   ;                   ;                   ; 00000001595;            ;                   ;                   ;                   ;                   ;                   ;                   ;         31/00 ;        274/05 ;        234/05 
01;20;000;00007947;GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6    ;cx  ;      1.775/04 ;          2/00;          0/00;      1.777/04 ;         27/00 ;      1.750/04 ;          0/00 ;      1.750/04-;          0/00 ;          5/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000043924,2266701;-;  ;     ;                   ;                   ;                   ; 00000010504;            ;                   ;                   ;                   ;                   ;                   ;                   ;        175/00 ;      1.602/04 ;      1.575/04 
01;20;000;00007977;GATORADE UVA PET 500ML SIXPACK               ;cx  ;        396/05 ;          1/00;          0/00;        397/05 ;         41/00 ;        356/05 ;          0/00 ;        356/05-;          0/00 ;         41/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000004282,0000000;-;  ;     ;                   ;                   ;                   ; 00000002141;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        397/05 ;        356/05 
01;20;000;00007980;GATORADE TANGERINA PET 500ML SIXPACK         ;cx  ;          1/01-;          0/00;          0/00;          1/01-;          0/00 ;          1/01-;          0/00 ;          1/01 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000013,8716666; ;  ;     ;                   ;                   ;                   ;-00000000007;            ;                   ;                   ;                   ;                   ;                   ;                   ;          8/00 ;          9/01-;          9/01-
